Walk Glasgow Coordinator Name  ,Walk Glasgow Coordinator Telephone  ,Walk Glasgow Coordinator Email ,Health Walks Webpage,Local Network Area ,Enquiries Local Network,Local Network Enquiries Telephone,Local Network Enquiries Email,Walk ID ,Walk Name,Walk Day,Walk Time,Meeting Frequency,Meet Point,Meet Address 1,Meet Address 2,Town,Postcode,UPRN
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,18HW2013,Darnley,Wednesday,10:00,Weekly,World Buffet Car Park (formerly the Ashoka),500 Corselet Road,,Glasgow,G53 7RN,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,19HW2013,Gorbals,Thursday,13:30,Weekly,St Francis Centre (SEAL Office),405 Cumberland Street,,Glasgow,G5 0SE,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,20HW2013,Govanhill Ladies Walk,Tuesday,09:30,Weekly,REACH Community Health Project,Network House,311 Calder Street,Glasgow,G42 7NQ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,21HW2013,Pollok,Monday,11:15,Weekly,Pollok Community Centre,134 Langton Road,,Glasgow,G53 5DP,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,22HW2013,Pollok Park,Wednesday,10:15,Weekly,Pollokshaws Library,60 Shawbridge Street,,Glasgow,G43 1RW,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,23HW2013,Queens Park,Monday,11:00,Weekly,"Main foyer, New Victoria Hospital ",55 Grange Road,,Glasgow,G42 9LL,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,24HW2013,Toryglen,Wednesday,12:00,Weekly,Toryglen Community Hall,199 Prospecthill Circus,,Glasgow,G42 0LF,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,25HW2013,Toryglen,Friday,12:00,Weekly,Toryglen Community Hall,199 Prospecthill Circus,,Glasgow,G42 0LF,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,26HW2013,Barlanark,Monday,11:00,Weekly,Barlanark Community Centre,33 Burnmouth Road,,Glasgow,G33 4RZ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,27HW2013,Barlanark,Tuesday,11:00,Weekly,Barlanark Community Centre,33 Burnmouth Road,,Glasgow,G33 4RZ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,28HW2013,Dennistoun,Wednesday,11:00,Weekly,Glasgow Club Whitehill Reception,240 Onslow Drive,,Glasgow,G31 2QF,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,29HW2013,Easterhouse,Tuesday,10:00,Weekly,The Hub,49 Wellhouse Crescent,,Glasgow,G33 4LA,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,30HW2013,Easterhouse,Wednesday,09:00,Weekly,"FARE, Bannatyne House",31 Drumlanrig Avenue,,Glasgow,G34 0JF,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,31HW2013,Hogganfield,Monday,10:00,Weekly,Riddrie Library,1020 Cumbernauld Road,,Glasgow,G33 2QS,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,32HW2013,Tollcross,Monday,11:00,Weekly,Children's Farm,Tollcross Park,Wellshot Road,Glasgow,G32 7AX,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,33HW2013,Tollcross,Wednesday,11:00,Weekly,Children's Farm,Tollcross Park,Wellshot Road,Glasgow,G32 7AX,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,34HW2013,Tollcross,Friday,11:00,Weekly,Children's Farm,Tollcross Park,Wellshot Road,Glasgow,G32 7AX,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,East Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,35HW2013,Townhead,Tuesday,10:00,Weekly,Gates to Necropolis,Castle Street,,Glasgow,G4 0UZ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,36HW2013,Anderston,Tuesday,11:00,Weekly,Anderston/Kelvingrove Church,759 Argyle Street,,Glasgow,G3 8DS,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,37HW2013,Drumchapel,Thursday,13:00,Weekly,Donald Dewar Sports Centre Foyer,200 Garscadden Road,,Glasgow,G15 8SX,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,38HW2013,Drumchapel,Friday,11:00,Weekly,Drumchapel Health Centre,90 Kinfauns Drive,,Glasgow,G15 7TS,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,39HW2013,Gartnavel,Wednesday,13:15,Weekly,"Outside Main Door, Beatson Oncology Centre - Block BL", Gartnavel Hospital campus,1053 Great Western Road,Glasgow,G12 0YN,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,40HW2013,Heart of Scotstoun,Monday,14:30,Weekly,Heart of Scotstoun Community Centre,64 Balmoral Street,,Glasgow,G14 0BL,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,41HW2013,Heart of Scotstoun,Friday,11:00,Weekly,Heart of Scotstoun Community Centre,64 Balmoral Street,,Glasgow,G14 0BL,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,42HW2013,Knightswood,Monday,13:30,Weekly,Knightswood Community Centre,201 Alderman Road,,Glasgow,G13 3DD,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,43HW2013,Netherton,Wednesday,11:00,Weekly,3 Eyes Project,52 Knightscliffe Avenue,,Glasgow,G13 2TE,NA
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,44HW2013,Victoria Park,Wednesday,11:00,Weekly,"Glasgow Club Scotstoun, National Badminton Academy, 1st Floor",112 Danes Drive,,Glasgow,G14 9HD,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,45HW2013,Hyndland,Tuesday,14:00,Weekly,"Outside""Tabak"" newsagent (beside Old Station Park) ",70 Hyndland Road,,Glasgow,G12 9UT,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,46HW2013,Hyndland,Sunday,14:00,Weekly,"Outside""Tabak"" newsagent (beside Old Station Park) ",70 Hyndland Road,,Glasgow,G12 9UT,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,47HW2013,West End Botanics,Thursday,13:00,Weekly,Just inside Kibble Palace,Botanic Gardens,730 Great Western Road,Glasgow,G12 0UE,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,48HW2013,West End Botanics,Friday,11:00,Weekly,Just inside Kibble Palace,Botanic Gardens,730 Great Western Road,Glasgow,G12 0UE,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,West Glasgow ,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,49HW2013,Whiteinch,Thursday,11:00,Weekly,Whiteinch centre,1 Northinch Court,,Glasgow,G14 0UG,9.067E+11
